Words in database,Words that will link to item ,
apples,apple,END
apricots,apricot,END
artificial,,END
asparagus,,END
avocados,avocado,END
baby,,END
bacon,,END
baking,,END
bananas,banana,END
batter,,END
beans,bean,END
beef,,END
beets,beet,END
berries,berry,END
birds,bird,END
biscuit,biscuits,END
bison,,END
bits,bit,END
blends,blend,END
bluefish,,END
boiled,,END
bologna,,END
bottled,,END
bouillon,,END
bread,,END
breaded,,END
breads,,END
breakfast,breakfasts,END
brie,,END
broccoli,,END
brownie,brownies,END
brussels,brussel,END
burritos,burrito,END
butter,,END
buttermilk,,END
cabbage,cabbages,END
cake,,END
cakes,,END
cans,can,END
carbonated,,END
carrots,carrot,END
casserole,,END
casseroles,,END
catsup,catsups,END
cauliflower,cauliflowers,END
celery,celery,END
cereals,cereal,END
cheddar,cheddars,END
cheese,cheeses,END
cherries,cherry,END
chicken,chickens,END
chili,chilis,END
chili,chilie,END
chips,chip,END
chocolate,chocolates,END
chops,chop,END
citrus,citruses,END
clams,clam,END
cocktail,cocktails,END
cocoa,cocoas,END
coconut,coconuts,END
cod,cods,END
coffee,coffees,END
concentrate,concentrates,END
condensed,,END
cookies,cookie,END
corn,corns,END
corned,,END
cornstarch,cornstarches,END
cottage,cottages,END
crab,crabs,END
crackers,cracker,END
cream,creams,END
croutons,crouton,END
crumbs,crumb,END
cucumbers,cucumber,END
cured,,END
deviled,,END
dips,dip,END
doughnuts,doughnut,END
dressings,dressing,END
drinks,drink,END
egg,eggs,END
eggnog,eggnogs,END
eggplant,eggplants,END
eggs,egg,END
enchiladas,enchilada,END
evaporated,,END
extract,extracts,END
extracts,extract,END
feet,foot,END
fish,fishes,END
flaked,,END
flounder,flounders,END
flour,flours,END
frankfurters,frankfurter,END
frog,frogs,END
frosting,,END
fruit,fruits,END
game,,END
gelatin,gelatins,END
giblets,giblet,END
granulated,,END
grapes,grape,END
gravies,gravy,END
gravy,gravies,END
green,,END
ground,,END
haddock,haddocks,END
ham,hams,END
heart,hearts,END
herb,herbs,END
herbs,herb,END
honey,honeys,END
instant,,END
jams,jam,END
jellies,jellie,END
jerky,,END
juice,juices,END
juices,juice,END
lamb,lambs,END
lean,,END
legs,leg,END
lettuce,lettuces,END
lighteners,,END
lima,limas,END
links,link,END
liver,livers,END
livers,liver,END
lobster,lobsters,END
luncheon,,END
mackeral,mackerals,END
margarine,,END
marshmallow,marshmallows,END
marshmallows,marshmallow,END
mayonnaise,,END
meat,meats,END
meats,meat,END
melons,melon,END
mettwurst,,END
milk,milks,END
mix,mixes,END
mixes,mix,END
molasses,,END
muffin,muffins,END
mushrooms,mushroom,END
mustard,mustards,END
nectarines,nectarine,END
nuggets,nugget,END
nuts,nut,END
oil,oils,END
oils,oil,END
onion,onions,END
onions,onion,END
oysters,oyster,END
pancake,pancakes,END
parmesan,parmesans,END
pasta,pastas,END
pasteurized,,END
pastries,pastry,END
patties,patty,END
peaches,peach,END
peanut,peanuts,END
pears,pear,END
peas,pea,END
pectin,,END
pepperoni,pepperone,END
peppers,pepper,END
peppers,capsicum,END
pickled,,END
pickles,pickle,END
piecrust,piecrusts,END
pies,pie,END
pigs,pig,END
pineapple,pineapples,END
pizza,pizzas,END
plums,plum,END
popcorn,,END
pork,porks,END
potato,potatoes,END
potatoes,potato,END
powder,powders,END
precooked,,END
premelted,,END
pretzels,pretzel,END
pudding,puddings,END
rabbit,rabbits,END
radishes,radish,END
restructured,,END
rhubarb,rhubarbs,END
rice,,END
rings,ring,END
roasts,roast,END
roll,rolls,END
rolls,roll,END
rutabagas,rutabag,END
salad,salads,END
salads,salad,END
salami,,END
salmon,salmons,END
sauce,sauces,END
sausage,sausages,END
scallops,scallop,END
seafood,,END
semisweet,,END
sherbet,,END
shortening,,END
shrimp,shrimps,END
shucked,,END
smoked,,END
snack,snacks,END
snap,,END
soda,sodas,END
soft,,END
soup,soups,END
sour,,END
spice,spices,END
spices,spice,END
spinach,spinaches,END
spread,spreads,END
sprouts,sprout,END
squash,squashes,END
squirrel,squirrels,END
stable,,END
steaks,steak,END
stews,stew,END
stuffing,,END
substitute,,END
sugar,sugars,END
sweetener,,END
swiss,,END
syrup,syrups,END
tacos,taco,END
tea,teas,END
toaster,toasters,END
tomatoes,tomatoe,END
tongue,tongues,END
topping,toppings,END
tuna,,END
turnips,turnip,END
unbaked,,END
vanilla,,END
variety,,END
veal,,END
vegetable,vegetables,END
vegetables,vegetable,END
venison,,END
vinegar,,END
waffle,waffles,END
waffles,waffle,END
water,,END
wheat,,END
whipped,,END
whites,white,END
wild,,END
yeast,yeasts,END
yogurt,yogurts,END
yolks,yolk,END
mushrooms,mushroon,END
mushrooms,mushroons,END
peppers,capsicun,END
orange,oranges,END
lime,limes,END
lemon,lemons,END
potatoes,kumara,END
